meanI,meanJ,taoI,taoJ,kontras,Energy,Homogenitas,Correlation,Class
45.5681609,45.56576959,80.13556992,80.13353632,39.48058231,0.568304076,0.986498668,0.99692593,1
15.51349111,15.51349111,51.00111558,51.00111558,43.33076493,0.835626912,0.992358262,0.991670729,1
18.1505059,18.14099227,54.06601637,54.05134679,54.67648139,0.805092725,0.991952109,0.990645141,1
21.72186114,21.71576186,55.31110736,55.30334848,22.6067734,0.747502364,0.984181358,0.996304758,1
52.66900814,52.6789174,80.63343231,80.6395588,46.32084947,0.486249772,0.976260979,0.996438098,1
56.16198889,56.15042104,80.67670469,80.66880545,34.09898303,0.447900184,0.977103348,0.997380278,1
30.9977388,30.99399614,67.63540323,67.63128356,43.11853115,0.679577979,0.984944557,0.995286843,1
36.948631,36.94227501,71.61132182,71.60679819,27.32702531,0.623156035,0.986233402,0.99733544,1
42.19519155,42.21046806,78.48766643,78.50098408,38.97762516,0.595850468,0.98491423,0.996836963,1
15.97916817,15.96803017,52.36995676,52.35159395,23.54662912,0.831387466,0.99512957,0.995705841,1
19.39789517,19.41034837,59.25102692,59.27080303,8.358685059,0.813089184,0.995822958,0.998810011,1
11.84625145,11.85066783,45.05304702,45.06227876,50.89795337,0.871748194,0.994433491,0.987464776,1
14.57442927,14.58576392,49.72304465,49.74268244,38.89218439,0.845179708,0.993619434,0.99213788,1
11.45754414,11.44843772,44.16071503,44.13972111,50.02186371,0.875259764,0.994782511,0.987169025,1
15.4324686,15.42027307,54.51692136,54.49502238,44.68801314,0.854462879,0.99674502,0.992479152,1
8.374750087,8.374750087,38.73656923,38.73656923,27.36421104,0.911496204,0.995813725,0.990881768,1
16.5722553,16.56052486,54.93167424,54.91365686,38.11242649,0.836807601,0.993704626,0.993682749,1
5.351807855,5.351807855,31.66000584,31.66000584,24.49444084,0.944499477,0.996719816,0.987781566,1
16.56928702,16.56928702,53.33321172,53.33321172,29.04121614,0.830131024,0.988695733,0.994895075,1
58.00554395,58.00040304,89.88286707,89.88209337,46.82950822,0.496919475,0.981233596,0.997101727,1
